Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2018-04-07,The Hobbit: The Desolation of Smaug,2013,https://letterboxd.com/spur_22/film/the-hobbit-the-desolation-of-smaug/,,,2014-04-07
2018-04-07,Crash,2004,https://letterboxd.com/spur_22/film/crash-2004/,,,2017-04-07
2018-02-26,The Hunger,1983,https://letterboxd.com/spur_22/film/the-hunger/,,,2017-07-11
2018-02-26,Top Gun,1986,https://letterboxd.com/spur_22/film/top-gun/,,,2017-07-12
2018-02-26,The Verdict,1982,https://letterboxd.com/spur_22/film/the-verdict-1982/,,,2017-07-13
2018-02-26,Trespass Against Us,2016,https://letterboxd.com/spur_22/film/trespass-against-us/,,,2017-07-14
2018-02-26,Colossal,2016,https://letterboxd.com/spur_22/film/colossal-2016/,,,2017-07-16
2018-02-26,Insomnia,2002,https://letterboxd.com/spur_22/film/insomnia-2002/,,,2017-07-17
2018-02-26,Land of Mine,2015,https://letterboxd.com/spur_22/film/land-of-mine/,,,2017-07-18
2018-02-26,The Salesman,2016,https://letterboxd.com/spur_22/film/the-salesman-2016/,,,2017-07-19
2018-02-26,Rescue Under Fire,2017,https://letterboxd.com/spur_22/film/rescue-under-fire/,,,2017-07-20
2018-02-26,Allied,2016,https://letterboxd.com/spur_22/film/allied/,,,2017-07-21
2018-02-26,Southpaw,2015,https://letterboxd.com/spur_22/film/southpaw-2015/,,,2017-07-22
2018-02-26,Cross of Iron,1977,https://letterboxd.com/spur_22/film/cross-of-iron/,,,2017-07-24
2018-02-26,The Stolen Years,1998,https://letterboxd.com/spur_22/film/the-stolen-years/,,,2017-07-25
2018-02-26,Ghost in the Shell,2017,https://letterboxd.com/spur_22/film/ghost-in-the-shell-2017/,,,2017-07-26
2018-02-26,The Thin Red Line,1998,https://letterboxd.com/spur_22/film/the-thin-red-line/,,,2017-07-27
2018-02-26,13,2010,https://letterboxd.com/spur_22/film/13/,,,2017-07-28
2018-02-26,Shaun the Sheep Movie,2015,https://letterboxd.com/spur_22/film/shaun-the-sheep-movie/,,,2017-08-13
2018-02-26,Dunkirk,2017,https://letterboxd.com/spur_22/film/dunkirk-2017/,,cine,2017-08-17
2018-02-26,Children of the Corn,1984,https://letterboxd.com/spur_22/film/children-of-the-corn/,,,2017-08-21
2018-02-26,Guardians of the Galaxy Vol. 2,2017,https://letterboxd.com/spur_22/film/guardians-of-the-galaxy-vol-2/,,,2017-09-07
2018-02-26,Hereafter,2010,https://letterboxd.com/spur_22/film/hereafter/,,,2017-09-09
2018-02-26,The Saint,2017,https://letterboxd.com/spur_22/film/the-saint-2017-1/,,,2017-09-11
2018-02-26,Unstoppable,2010,https://letterboxd.com/spur_22/film/unstoppable-2010/,,,2017-09-12
2018-02-26,The Invisible Guest,2016,https://letterboxd.com/spur_22/film/the-invisible-guest/,,,2017-09-13
2018-02-26,Lorenzo's Oil,1992,https://letterboxd.com/spur_22/film/lorenzos-oil/,,,2017-09-14
2018-02-26,Eye in the Sky,2015,https://letterboxd.com/spur_22/film/eye-in-the-sky-2015/,,,2017-09-15
2018-02-26,The Lost City of Z,2016,https://letterboxd.com/spur_22/film/the-lost-city-of-z/,,,2017-09-16
2018-02-26,The Mummy,2017,https://letterboxd.com/spur_22/film/the-mummy-2017/,,,2017-09-17
2018-02-26,A Ghost Story,2017,https://letterboxd.com/spur_22/film/a-ghost-story-2017/,,,2017-09-21
2018-02-26,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://letterboxd.com/spur_22/film/pirates-of-the-caribbean-dead-men-tell-no-tales/,,,2017-09-22
2018-02-26,Wonder Woman,2017,https://letterboxd.com/spur_22/film/wonder-woman-2017/,,,2017-09-23
2018-02-26,Meet John Doe,1941,https://letterboxd.com/spur_22/film/meet-john-doe/,,,2017-09-29
2018-02-26,Miss Sloane,2016,https://letterboxd.com/spur_22/film/miss-sloane/,,,2017-09-30
2018-02-26,What's Love Got to Do with It,1993,https://letterboxd.com/spur_22/film/whats-love-got-to-do-with-it/,,,2017-10-01
2018-02-26,Blade Runner,1982,https://letterboxd.com/spur_22/film/blade-runner/,,,2017-10-06
2018-02-26,Tucker: The Man and His Dream,1988,https://letterboxd.com/spur_22/film/tucker-the-man-and-his-dream/,,,2017-10-07
2018-02-26,Blade Runner 2049,2017,https://letterboxd.com/spur_22/film/blade-runner-2049/,,cine,2017-10-08
2018-02-26,Alien: Covenant,2017,https://letterboxd.com/spur_22/film/alien-covenant/,,,2017-10-12
2018-02-26,White House Down,2013,https://letterboxd.com/spur_22/film/white-house-down/,,,2017-10-13
2018-02-26,Baby Driver,2017,https://letterboxd.com/spur_22/film/baby-driver/,,,2017-10-14
2018-02-26,The Patriot,2000,https://letterboxd.com/spur_22/film/the-patriot-2000/,,,2017-10-15
2018-02-26,Independence Day,1996,https://letterboxd.com/spur_22/film/independence-day/,,,2017-10-21
2018-02-26,Who Framed Roger Rabbit,1988,https://letterboxd.com/spur_22/film/who-framed-roger-rabbit/,,,2017-10-27
2018-02-26,Straw Dogs,2011,https://letterboxd.com/spur_22/film/straw-dogs-2011/,,,2017-10-28
2018-02-26,The Sugarland Express,1974,https://letterboxd.com/spur_22/film/the-sugarland-express/,,,2017-10-29
2018-02-26,Crimson Tide,1995,https://letterboxd.com/spur_22/film/crimson-tide/,,,2017-10-31
2018-02-26,Black Rain,1989,https://letterboxd.com/spur_22/film/black-rain/,,,2017-11-01
